T,K,kappa,theta,sigma,price,error,valid_paths
0.3,0.8,0.11,-0.34,0.1,0.19982,0.00149173,10000
0.3,0.8,0.11,-0.34,0.12,0.200798,0.00162948,10000
0.3,0.8,0.11,-0.34,0.13,0.202425,0.00168401,10000
0.3,0.8,0.11,-0.34,0.14,0.200041,0.00176987,10000
0.3,0.8,0.11,-0.34,0.15,0.202675,0.00183125,10000
0.3,0.8,0.11,-0.34,0.16,0.203144,0.00190809,10000
0.3,0.8,0.11,-0.34,0.17,0.203048,0.00195723,10000
0.3,0.8,0.11,-0.34,0.18,0.201942,0.0020553,10000
0.3,0.8,0.11,-0.34,0.19,0.2026,0.00210413,10000
0.3,0.8,0.11,-0.34,0.2,0.204577,0.00217984,10000
0.3,0.8,0.11,-0.3,0.1,0.199609,0.0014305,10000
0.3,0.8,0.11,-0.3,0.12,0.201106,0.00155613,10000
0.3,0.8,0.11,-0.3,0.13,0.200566,0.00162428,10000
0.3,0.8,0.11,-0.3,0.14,0.201572,0.00169852,10000
0.3,0.8,0.11,-0.3,0.15,0.201929,0.00177331,10000
0.3,0.8,0.11,-0.3,0.16,0.203923,0.00184614,10000
0.3,0.8,0.11,-0.3,0.17,0.201414,0.00194802,10000
0.3,0.8,0.11,-0.3,0.18,0.2034,0.00200892,10000
0.3,0.8,0.11,-0.3,0.19,0.201891,0.00207172,10000
0.3,0.8,0.11,-0.3,0.2,0.203877,0.00215918,10000
0.3,0.8,0.11,-0.27,0.1,0.199478,0.00136473,10000
0.3,0.8,0.11,-0.27,0.12,0.200194,0.00151787,10000
0.3,0.8,0.11,-0.27,0.13,0.200906,0.00158279,10000
0.3,0.8,0.11,-0.27,0.14,0.200795,0.00165075,10000
0.3,0.8,0.11,-0.27,0.15,0.199673,0.00174957,10000
0.3,0.8,0.11,-0.27,0.16,0.201411,0.00182764,10000
0.3,0.8,0.11,-0.27,0.17,0.200991,0.0019215,10000
0.3,0.8,0.11,-0.27,0.18,0.20343,0.00197681,10000
0.3,0.8,0.11,-0.27,0.19,0.202042,0.002041,10000
0.3,0.8,0.11,-0.27,0.2,0.201095,0.00210348,10000
0.3,0.8,0.11,-0.24,0.1,0.200136,0.00132873,10000
0.3,0.8,0.11,-0.24,0.12,0.199517,0.00146118,10000
0.3,0.8,0.11,-0.24,0.13,0.201318,0.0015289,10000
0.3,0.8,0.11,-0.24,0.14,0.20034,0.00162638,10000
0.3,0.8,0.11,-0.24,0.15,0.199608,0.00168919,10000
0.3,0.8,0.11,-0.24,0.16,0.20146,0.00177707,10000
0.3,0.8,0.11,-0.24,0.17,0.202221,0.00185074,10000
0.3,0.8,0.11,-0.24,0.18,0.199428,0.00195198,10000
0.3,0.8,0.11,-0.24,0.19,0.203314,0.0020116,10000
0.3,0.8,0.11,-0.24,0.2,0.201927,0.00208378,10000
0.3,0.8,0.11,-0.21,0.1,0.200257,0.00126143,10000
0.3,0.8,0.11,-0.21,0.12,0.201174,0.00141171,10000
